"category", "problem", "population", "xover_method", "xover_rate", "mut_rate", "mut_method", "mut_param", "sel_method", "sel_param", "fitness"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "208"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "208"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "208"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "208"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "210"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "210"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "212"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "212"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "206"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "208"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "206"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_3.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "202"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
